,master_order_id,master_order_status,created,order_id,order_status,ordereditem_quantity,prod_names,ordereditem_unit_price_net,ordereditem_product_id,value,group,dist_names,retailer_names,bill_amount
10548,26888,processed,3/15/2018 8:36,27947,processed,2,ProdName13,77.86,2747,155.72,Hyderabad,DistName1,RetailerID16,646.85
10549,26888,processed,3/15/2018 8:36,27947,processed,5,ProdName27,36.33,744,181.65,Hyderabad,DistName3,RetailerID123,646.85
10550,26888,processed,3/15/2018 8:36,27947,processed,1,ProdName4247,53.57,43043,53.57,Hyderabad,DistName1,RetailerID28,646.85
10551,26888,processed,3/15/2018 8:36,27947,processed,3,ProdName490,31.93,13957,95.79,Hyderabad,DistName1,RetailerID137,646.85
10552,26884,processed,3/15/2018 8:16,27943,processed,3,ProdName2832,99.29,1659,297.87,Hyderabad,DistName3,RetailerID179,297.87
10553,26881,processed,3/15/2018 7:45,27937,processed,1,ProdName719,178.43,1421,178.43,Hyderabad,DistName1,RetailerID173,1312.55
10554,26881,processed,3/15/2018 7:45,27937,processed,1,ProdName3297,127.86,10741,127.86,Hyderabad,DistName1,RetailerID1,1312.55
10555,26881,processed,3/15/2018 7:45,27937,processed,1,ProdName800,117.79,4635,117.79,Hyderabad,DistName3,RetailerID37,1312.55
10556,26881,processed,3/15/2018 7:45,27937,processed,1,ProdName106,69.64,1425,69.64,Hyderabad,DistName7,RetailerID133,1312.55
10557,26881,processed,3/15/2018 7:45,27937,processed,2,ProdName1201,192.85,7323,385.7,Hyderabad,DistName3,RetailerID37,1312.55
10558,26881,processed,3/15/2018 7:45,27937,processed,1,ProdName1313,226.88,3739,226.88,Hyderabad,DistName2,RetailerID5,1312.55
10559,26881,processed,3/15/2018 7:45,27937,processed,1,ProdName718,0,13486,0,Hyderabad,DistName1,RetailerID160,1312.55
10560,26880,processed,3/15/2018 7:42,27936,processed,3,ProdName58,132.1,1760,396.3,Hyderabad,DistName1,RetailerID36,740.56
10561,26878,processed,3/15/2018 7:34,27934,processed,6,ProdName674,59.29,2354,355.74,Hyderabad,DistName1,RetailerID20,2341.36
10562,26878,processed,3/15/2018 7:34,27934,processed,2,ProdName2751,48.57,23659,97.14,Hyderabad,DistName3,RetailerID29,2341.36
10563,26887,processed,3/15/2018 8:29,27946,processed,1,ProdName1858,124.29,18859,124.29,Hyderabad,DistName1,RetailerID122,2112.99
10564,26887,processed,3/15/2018 8:29,27946,processed,10,ProdName10,19.44,922,194.4,Hyderabad,DistName1,RetailerID56,2112.99
10565,26887,processed,3/15/2018 8:29,27946,processed,1,ProdName4248,192.86,22189,192.86,Hyderabad,DistName4,RetailerID181,2112.99
10566,26887,processed,3/15/2018 8:29,27946,processed,1,ProdName282,111.43,2622,111.43,Hyderabad,DistName3,RetailerID34,2112.99
10567,26887,processed,3/15/2018 8:29,27946,processed,1,ProdName1672,46.54,1478,46.54,Hyderabad,DistName3,RetailerID35,2112.99
10568,26887,processed,3/15/2018 8:29,27946,processed,1,ProdName4249,85,21764,85,Hyderabad,DistName3,RetailerID34,2112.99
10569,26887,processed,3/15/2018 8:29,27946,processed,2,ProdName4250,32.41,22616,64.82,Hyderabad,DistName3,RetailerID37,2112.99
10570,26887,processed,3/15/2018 8:29,27946,processed,2,ProdName310,16.79,2174,33.58,Hyderabad,DistName3,RetailerID217,2112.99
10571,26887,processed,3/15/2018 8:29,27946,processed,2,ProdName3948,17.29,4848,34.58,Hyderabad,DistName7,RetailerID81,2112.99
10572,26887,processed,3/15/2018 8:29,27946,processed,1,ProdName3460,139.29,3531,139.29,Hyderabad,DistName3,RetailerID146,2112.99
10573,26887,processed,3/15/2018 8:29,27946,processed,1,ProdName4251,57.86,2703,57.86,Hyderabad,DistName3,RetailerID146,2112.99
10574,26887,processed,3/15/2018 8:29,27946,processed,1,ProdName1021,54.29,4008,54.29,Hyderabad,DistName3,RetailerID146,2112.99
10575,26887,processed,3/15/2018 8:29,27946,processed,2,ProdName126,53.29,612,106.58,Hyderabad,DistName3,RetailerID146,2112.99
10576,26887,processed,3/15/2018 8:29,27946,processed,10,ProdName1498,12.82,7548,128.2,Hyderabad,DistName3,RetailerID127,2112.99
10577,26887,processed,3/15/2018 8:29,27946,processed,1,ProdName862,149.23,4191,149.23,Hyderabad,DistName3,RetailerID95,2112.99
10578,26887,processed,3/15/2018 8:29,27946,processed,2,ProdName325,118.57,663,237.14,Hyderabad,DistName3,RetailerID95,2112.99
10579,26886,processed,3/15/2018 8:27,27945,processed,1,ProdName607,94.29,18849,94.29,Hyderabad,DistName1,RetailerID186,327.56
10580,26886,processed,3/15/2018 8:27,27945,processed,1,ProdName12,85.59,2242,85.59,Hyderabad,DistName3,RetailerID37,327.56
10581,26886,processed,3/15/2018 8:27,27945,processed,3,ProdName4252,31.37,22152,94.11,Hyderabad,DistName1,RetailerID81,327.56
10582,26880,processed,3/15/2018 7:42,27936,processed,3,ProdName4132,33.57,23572,100.71,Hyderabad,DistName1,RetailerID36,740.56
10583,26880,processed,3/15/2018 7:42,27936,processed,5,ProdName271,34.58,1208,172.9,Hyderabad,DistName1,RetailerID115,740.56
10584,26881,processed,3/15/2018 7:45,27937,processed,1,ProdName496,114.11,2241,114.11,Hyderabad,DistName3,RetailerID37,1312.55
10585,26882,processed,3/15/2018 8:07,27938,processed,2,ProdName1262,90,7904,180,Hyderabad,DistName3,RetailerID34,314.47
10586,26882,processed,3/15/2018 8:07,27938,processed,10,ProdName1814,9.84,20530,98.4,Hyderabad,DistName1,RetailerID119,314.47
10587,26882,processed,3/15/2018 8:07,27938,processed,1,ProdName582,36.07,3975,36.07,Hyderabad,DistName3,RetailerID77,314.47
10588,26887,processed,3/15/2018 8:29,27946,processed,1,ProdName311,61.29,1703,61.29,Hyderabad,DistName3,RetailerID61,2112.99
10589,26887,processed,3/15/2018 8:29,27946,processed,3,ProdName744,11.03,7768,33.09,Hyderabad,DistName1,RetailerID75,2112.99
10590,26885,processed,3/15/2018 8:19,27944,processed,6,ProdName1744,27.16,5456,162.96,Hyderabad,DistName3,RetailerID34,2269.39
10591,26885,processed,3/15/2018 8:19,27944,processed,3,ProdName878,39.64,2577,118.92,Hyderabad,DistName1,RetailerID79,2269.39
10592,26888,processed,3/15/2018 8:36,27947,processed,1,ProdName1030,59.04,42815,59.04,Hyderabad,DistName1,RetailerID28,646.85
10593,26835,processed,3/14/2018 8:07,27888,processed,5,ProdName271,34.58,1208,172.9,Hyderabad,DistName1,RetailerID115,273.61
10594,26853,processed,3/15/2018 4:31,27913,processed,1,ProdName2820,108.75,10913,108.75,Hyderabad,DistName1,RetailerID22,933.06
10595,26853,processed,3/15/2018 4:31,27913,processed,3,ProdName1566,146.43,119,439.29,Hyderabad,DistName3,RetailerID35,933.06
10596,26856,processed,3/15/2018 5:53,27917,processed,3,ProdName2324,134.92,257,404.76,Hyderabad,DistName3,RetailerID10,873.4
10597,26855,processed,3/15/2018 5:50,27916,processed,2,ProdName1794,85.72,5799,171.44,Hyderabad,DistName1,RetailerID200,991.06
10598,26857,processed,3/15/2018 5:58,27918,processed,3,ProdName395,119.64,29,358.92,Hyderabad,DistName5,RetailerID119,1859.89
10599,26857,processed,3/15/2018 5:58,27918,processed,6,ProdName784,33.57,3035,201.42,Hyderabad,DistName5,RetailerID119,1859.89
10600,26876,processed,3/15/2018 7:21,27932,processed,10,ProdName3601,34.64,3452,346.4,Hyderabad,DistName1,RetailerID20,424.62
10601,26868,processed,3/15/2018 6:24,27924,processed,4,ProdName4253,34.64,2100,138.56,Hyderabad,DistName1,RetailerID7,780.79
10602,26881,processed,3/15/2018 7:45,27937,processed,1,ProdName821,92.14,10487,92.14,Hyderabad,DistName1,RetailerID79,1312.55
10603,26880,processed,3/15/2018 7:42,27936,processed,3,ProdName3416,23.55,1785,70.65,Hyderabad,DistName1,RetailerID16,740.56
10604,26878,processed,3/15/2018 7:34,27934,processed,1,ProdName1142,61.71,20600,61.71,Hyderabad,DistName3,RetailerID52,2341.36
10605,26874,processed,3/15/2018 7:18,27930,processed,2,ProdName1130,100,24687,200,Hyderabad,DistName3,RetailerID25,798.61
10606,26870,processed,3/15/2018 6:47,27927,processed,1,ProdName56,334.59,5712,334.59,Hyderabad,DistName2,RetailerID5,770.81
10607,26887,processed,3/15/2018 8:29,27946,processed,20,ProdName404,7.14,2657,142.8,Hyderabad,DistName1,RetailerID13,2112.99
10608,26887,processed,3/15/2018 8:29,27946,processed,1,ProdName4254,46.43,12791,46.43,Hyderabad,DistName1,RetailerID115,2112.99
10609,26887,processed,3/15/2018 8:29,27946,processed,1,ProdName315,69.29,869,69.29,Hyderabad,DistName3,RetailerID146,2112.99
10610,26886,processed,3/15/2018 8:27,27945,processed,1,ProdName3279,53.57,2239,53.57,Hyderabad,DistName3,RetailerID37,327.56
10611,26877,processed,3/15/2018 7:32,27933,processed,1,ProdName1270,391.53,1508,391.53,Hyderabad,DistName3,RetailerID146,1516.86
10612,26891,processed,3/15/2018 11:28,27950,processed,2,ProdName3656,83.9,10462,167.8,Hyderabad,DistName1,RetailerID72,401.77
10613,26891,processed,3/15/2018 11:28,27950,processed,3,ProdName3382,16.09,9705,48.27,Hyderabad,DistName1,RetailerID72,401.77
10614,26894,Partially Delivered,3/15/2018 12:56,27953,delivered,5,ProdName2365,127.14,32851,635.7,Gurugram,DistName3,RetailerID34,697.75
10615,26894,Partially Delivered,3/15/2018 12:56,27954,delivered,10,ProdName4255,10.45,29823,104.5,Gurugram,DistName3,RetailerID27,538.22
10616,26894,Partially Delivered,3/15/2018 12:56,27954,delivered,3,ProdName3454,108.46,29841,325.38,Gurugram,DistName3,RetailerID34,538.22
10617,26894,Partially Delivered,3/15/2018 12:56,27955,cancelled,4,ProdName4256,18.6,34940,74.4,Gurugram,DistName3,RetailerID27,74.4
10618,26891,processed,3/15/2018 11:28,27949,processed,3,ProdName768,11.36,4872,34.08,Hyderabad,DistName4,RetailerID119,1861
10619,26891,processed,3/15/2018 11:28,27949,processed,10,ProdName2022,10.85,24336,108.5,Hyderabad,DistName1,RetailerID86,1861
10620,26891,processed,3/15/2018 11:28,27949,processed,5,ProdName601,27.79,1038,138.95,Hyderabad,DistName1,RetailerID204,1861
10621,26891,processed,3/15/2018 11:28,27949,processed,1,ProdName300,97.66,4337,97.66,Hyderabad,DistName3,RetailerID95,1861
10622,26891,processed,3/15/2018 11:28,27949,processed,5,ProdName282,111.43,2622,557.15,Hyderabad,DistName3,RetailerID34,1861
10623,26891,processed,3/15/2018 11:28,27949,processed,1,ProdName800,117.79,4635,117.79,Hyderabad,DistName3,RetailerID37,1861
10624,26891,processed,3/15/2018 11:28,27949,processed,3,ProdName2401,65.39,4333,196.17,Hyderabad,DistName3,RetailerID27,1861
10625,26891,processed,3/15/2018 11:28,27949,processed,5,ProdName2464,122.14,1849,610.7,Hyderabad,DistName1,RetailerID186,1861
10626,26892,processed,3/15/2018 11:42,27951,processed,1,ProdName1652,46.62,2628,46.62,Hyderabad,DistName1,RetailerID13,2569.74
10627,26892,processed,3/15/2018 11:42,27951,processed,1,ProdName1529,94.5,13733,94.5,Hyderabad,DistName1,RetailerID1,2569.74
10628,26892,processed,3/15/2018 11:42,27951,processed,3,ProdName101,210.72,3343,632.16,Hyderabad,DistName3,RetailerID52,2569.74
10629,26892,processed,3/15/2018 11:42,27951,processed,1,ProdName4257,227.49,19622,227.49,Hyderabad,DistName1,RetailerID202,2569.74
10630,26892,processed,3/15/2018 11:42,27951,processed,1,ProdName3185,234.38,5198,234.38,Hyderabad,DistName3,RetailerID35,2569.74
10631,26892,processed,3/15/2018 11:42,27951,processed,2,ProdName3483,103.71,431,207.42,Hyderabad,DistName1,RetailerID137,2569.74
10632,26892,processed,3/15/2018 11:42,27951,processed,1,ProdName736,210.72,691,210.72,Hyderabad,DistName3,RetailerID52,2569.74
10633,26892,processed,3/15/2018 11:42,27951,processed,2,ProdName1618,68.63,1196,137.26,Hyderabad,DistName1,RetailerID149,2569.74
10634,26892,processed,3/15/2018 11:42,27951,processed,1,ProdName3195,67.86,4416,67.86,Hyderabad,DistName3,RetailerID52,2569.74
10635,26892,processed,3/15/2018 11:42,27951,processed,3,ProdName4258,171.43,5633,514.29,Hyderabad,DistName3,RetailerID60,2569.74
10636,26892,processed,3/15/2018 11:42,27951,processed,2,ProdName4259,98.52,19088,197.04,Hyderabad,DistName3,RetailerID78,2569.74
10637,26090,processed,2/14/2018 8:22,26403,processed,1,ProdName821,92.14,10487,92.14,Hyderabad,DistName1,RetailerID79,1735.72
10638,26090,processed,2/14/2018 8:22,26403,processed,3,ProdName3361,25.4,7549,76.2,Hyderabad,DistName3,RetailerID127,1735.72
10639,26893,processed,3/15/2018 12:35,27952,processed,4,ProdName4260,104.11,229,416.44,Hyderabad,DistName13,RetailerID46,1397.5
10640,26893,processed,3/15/2018 12:35,27952,processed,3,ProdName259,56.25,4897,168.75,Hyderabad,DistName6,RetailerID188,1397.5
10641,26893,processed,3/15/2018 12:35,27952,processed,3,ProdName1530,125,24072,375,Hyderabad,DistName3,RetailerID35,1397.5
10642,26893,processed,3/15/2018 12:35,27952,processed,3,ProdName4261,90.72,224,272.16,Hyderabad,DistName4,RetailerID181,1397.5
10643,26893,processed,3/15/2018 12:35,27952,processed,15,ProdName2514,11.01,5512,165.15,Hyderabad,DistName3,RetailerID155,1397.5
10644,26895,accepted,3/15/2018 14:43,27956,accepted,3,ProdName1873,50.21,2447,150.63,Hyderabad,DistName1,RetailerID13,795.1
10645,26895,accepted,3/15/2018 14:43,27956,accepted,1,ProdName1358,85,1394,85,Hyderabad,DistName1,RetailerID109,795.1
10646,26895,accepted,3/15/2018 14:43,27956,accepted,1,ProdName2685,62.33,19341,62.33,Hyderabad,DistName1,RetailerID13,795.1
10647,26895,accepted,3/15/2018 14:43,27956,accepted,2,ProdName1053,248.57,6491,497.14,Hyderabad,DistName1,RetailerID21,795.1
10648,26896,accepted,3/15/2018 14:53,27957,accepted,5,ProdName142,110.71,2706,553.55,Hyderabad,DistName2,RetailerID37,553.55
10649,27872,accepted,04-03-2018 06:11,29590,processed,1,ProdName712,170,8466,170,Hyderabad,DistName1,RetailerID85,2832.68
10650,26899,processed,3/15/2018 15:51,27960,processed,5,ProdName259,56.25,4897,281.25,Hyderabad,DistName6,RetailerID188,1501.7
10651,26899,processed,3/15/2018 15:51,27960,processed,3,ProdName4262,39.29,666,117.87,Hyderabad,DistName3,RetailerID34,1501.7
10652,26899,processed,3/15/2018 15:51,27960,processed,5,ProdName142,110.71,2706,553.55,Hyderabad,DistName2,RetailerID37,1501.7
10653,26897,processed,3/15/2018 15:41,27958,processed,3,ProdName418,60,5578,180,Hyderabad,DistName3,RetailerID34,558.66
10654,26897,processed,3/15/2018 15:41,27958,processed,2,ProdName2238,7.68,7477,15.36,Hyderabad,DistName1,RetailerID20,558.66
10655,26890,processed,3/15/2018 9:30,27948,processed,2,ProdName1182,63.34,4774,126.68,Hyderabad,DistName1,RetailerID150,126.68
10656,27868,processed,04-03-2018 05:52,29582,processed,3,ProdName151,97.14,189,291.42,Hyderabad,DistName3,RetailerID52,707.82
10657,27868,processed,04-03-2018 05:52,29582,processed,1,ProdName880,79.34,2526,79.34,Hyderabad,DistName3,RetailerID179,707.82
10658,27868,processed,04-03-2018 05:52,29582,processed,2,ProdName1231,168.53,5800,337.06,Hyderabad,DistName7,RetailerID81,707.82
10659,27933,processed,04-04-2018 03:55,29681,processed,1,ProdName3093,36.61,22792,36.61,Hyderabad,DistName1,RetailerID13,1090.88
10660,26907,processed,3/15/2018 17:54,27970,processed,5,ProdName179,35,2463,175,Hyderabad,DistName1,RetailerID74,1440.44
10661,26907,processed,3/15/2018 17:54,27970,processed,5,ProdName672,67.14,2374,335.7,Hyderabad,DistName1,RetailerID20,1440.44
10662,26907,processed,3/15/2018 17:54,27970,processed,5,ProdName2501,17.17,1473,85.85,Hyderabad,DistName3,RetailerID8,1440.44
10663,26907,processed,3/15/2018 17:54,27970,processed,5,ProdName1449,10,15682,50,Hyderabad,DistName1,RetailerID42,1440.44
10664,26907,processed,3/15/2018 17:54,27970,processed,1,ProdName130,30.74,2282,30.74,Hyderabad,DistName3,RetailerID164,1440.44
10665,26907,processed,3/15/2018 17:54,27970,processed,1,ProdName773,89.29,322,89.29,Hyderabad,DistName3,RetailerID183,1440.44
10666,26907,processed,3/15/2018 17:54,27970,processed,3,ProdName19,18.04,1844,54.12,Hyderabad,DistName1,RetailerID58,1440.44
10667,26907,processed,3/15/2018 17:54,27970,processed,4,ProdName2150,17.5,7527,70,Hyderabad,DistName1,RetailerID13,1440.44
10668,26906,processed,3/15/2018 17:50,27969,processed,3,ProdName4263,152.54,25237,457.62,Hyderabad,DistName7,RetailerID133,799.7
10669,26906,processed,3/15/2018 17:50,27969,processed,3,ProdName4264,49.58,15665,148.74,Hyderabad,DistName7,RetailerID133,799.7
10670,26906,processed,3/15/2018 17:50,27969,processed,10,ProdName2238,7.68,7477,76.8,Hyderabad,DistName1,RetailerID20,799.7
10671,26906,processed,3/15/2018 17:50,27969,processed,2,ProdName55,58.27,4837,116.54,Hyderabad,DistName3,RetailerID37,799.7
10672,26905,processed,3/15/2018 17:17,27968,processed,2,ProdName721,36.72,1954,73.44,Hyderabad,DistName1,RetailerID1,3070.51
10673,26905,processed,3/15/2018 17:17,27968,processed,3,ProdName740,49.92,1144,149.76,Hyderabad,DistName3,RetailerID37,3070.51
10674,26905,processed,3/15/2018 17:17,27968,processed,1,ProdName1626,86.86,4823,86.86,Hyderabad,DistName3,RetailerID35,3070.51
10675,26905,processed,3/15/2018 17:17,27968,processed,3,ProdName474,63.22,1282,189.66,Hyderabad,DistName1,RetailerID13,3070.51
10676,26905,processed,3/15/2018 17:17,27968,processed,1,ProdName1133,215.69,3999,215.69,Hyderabad,DistName1,RetailerID31,3070.51
10677,26905,processed,3/15/2018 17:17,27968,processed,1,ProdName4265,231.43,3932,231.43,Hyderabad,DistName7,RetailerID112,3070.51
10678,26905,processed,3/15/2018 17:17,27968,processed,1,ProdName286,70.71,1724,70.71,Hyderabad,DistName3,RetailerID77,3070.51
10679,26905,processed,3/15/2018 17:17,27968,processed,1,ProdName4266,712.7,22346,712.7,Hyderabad,DistName1,RetailerID1,3070.51
10680,26905,processed,3/15/2018 17:17,27968,processed,1,ProdName2820,108.75,10913,108.75,Hyderabad,DistName1,RetailerID22,3070.51
10681,26905,processed,3/15/2018 17:17,27968,processed,1,ProdName792,63.57,2367,63.57,Hyderabad,DistName1,RetailerID28,3070.51
10682,26905,processed,3/15/2018 17:17,27968,processed,2,ProdName3919,92.14,12547,184.28,Hyderabad,DistName3,RetailerID218,3070.51
10683,26905,processed,3/15/2018 17:17,27968,processed,1,ProdName4267,137.86,5528,137.86,Hyderabad,DistName1,RetailerID116,3070.51
10684,26905,processed,3/15/2018 17:17,27968,processed,1,ProdName4268,387.8,5616,387.8,Hyderabad,DistName3,RetailerID146,3070.51
10685,26904,processed,3/15/2018 16:49,27967,processed,2,ProdName4178,80.71,662,161.42,Hyderabad,DistName3,RetailerID25,873.4
10686,26904,processed,3/15/2018 16:49,27967,processed,3,ProdName2324,134.92,257,404.76,Hyderabad,DistName3,RetailerID10,873.4
10687,26904,processed,3/15/2018 16:49,27967,processed,2,ProdName399,68.57,5554,137.14,Hyderabad,DistName3,RetailerID123,873.4
10688,26904,processed,3/15/2018 16:49,27967,processed,2,ProdName1246,40.4,5708,80.8,Hyderabad,DistName3,RetailerID90,873.4
10689,26903,processed,3/15/2018 16:43,27966,processed,2,ProdName4269,52.57,11551,105.14,Hyderabad,DistName1,RetailerID42,2154.95
10690,26903,processed,3/15/2018 16:43,27966,processed,1,ProdName4173,190.87,18399,190.87,Hyderabad,DistName1,RetailerID13,2154.95
10691,26903,processed,3/15/2018 16:43,27966,processed,6,ProdName584,221.43,6485,1328.58,Hyderabad,DistName2,RetailerID196,2154.95
10692,26903,processed,3/15/2018 16:43,27966,processed,1,ProdName3510,262.5,23957,262.5,Hyderabad,DistName1,RetailerID21,2154.95
10693,26901,processed,3/15/2018 16:14,27963,processed,2,ProdName4270,20.82,22179,41.64,Hyderabad,DistName1,RetailerID115,1861.15
10694,26901,processed,3/15/2018 16:14,27963,processed,1,ProdName4271,52.86,14086,52.86,Hyderabad,DistName3,RetailerID34,1861.15
10695,26901,processed,3/15/2018 16:14,27963,processed,2,ProdName3483,103.71,431,207.42,Hyderabad,DistName1,RetailerID137,1861.15
10696,26901,processed,3/15/2018 16:14,27963,processed,2,ProdName2651,57.14,3731,114.28,Hyderabad,DistName3,RetailerID78,1861.15
10697,26901,processed,3/15/2018 16:14,27963,processed,2,ProdName2757,23.27,12586,46.54,Hyderabad,DistName3,RetailerID95,1861.15
10698,26901,processed,3/15/2018 16:14,27963,processed,1,ProdName300,97.66,4337,97.66,Hyderabad,DistName3,RetailerID95,1861.15
10699,26901,processed,3/15/2018 16:14,27963,processed,3,ProdName4272,52.29,22409,156.87,Hyderabad,DistName1,RetailerID116,1861.15
10700,26901,processed,3/15/2018 16:14,27963,processed,1,ProdName4273,36.79,16263,36.79,Hyderabad,DistName7,RetailerID207,1861.15
10701,26901,processed,3/15/2018 16:14,27963,processed,1,ProdName3728,355.93,11640,355.93,Hyderabad,DistName6,RetailerID55,1861.15
10702,26901,processed,3/15/2018 16:14,27963,processed,2,ProdName1395,30.64,6937,61.28,Hyderabad,DistName1,RetailerID3,1861.15
10703,26901,processed,3/15/2018 16:14,27963,processed,2,ProdName305,21.55,7686,43.1,Hyderabad,DistName3,RetailerID145,1861.15
